,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Ascensor,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Trastero,Orientación,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Precio,Cocina equipada,Estado,Emisiones,Campo de golf,Pista de pádel
0,,278,,Si,Si,Individual,,ávila,Si,1,,,Gasóleo,6,Gres,,,,2006,,4,Mono Capa,,,,,"24,00 €",,Si,,Si,,,Entre 10 y 15 Años,,,,4,4,Si,259000,Si,Perfecto Estado,,,
1,,274,3,,Si,Individual,,ávila,Si,,Si,,Gasóleo,7,Gres,,,,1991,Si,5,Ladrillo,,,,,,226,Si,Si,Si,,,Mas de 25 Años,,Si,,6,3,,285000,,Perfecto Estado,,,
2,,92,,,,,,ávila,Si,,,,,,Gres,,,,1979,Si,,Cemento,,,,,,86,,,,,,Entre 35 y 50 Años,,,,3,1,Si,60000,Si,,,,
3,,89,2,Si,,Individual,491 KW h/m² año,ávila,Si,,,,Propano,,Gres,,,,1955,Si,,Cemento,,,Si,,,75,Si,,Si,Este,,Más de 50 años,,,,4,1,,87260,Si,Perfecto Estado,104 Kg CO2/m² año,,
4,Si,89,2,,,Individual,,ávila,Si,,,,Propano,,Gres,,,,1955,Si,,Mono Capa,,2,Si,,,75,Si,,Si,,,Más de 50 años,,,,4,1,,106050,Si,Perfecto Estado,,,
5,,109,4,,,Gas natural,,ávila,Si,1,,,Gas Natural,,Tarima normal,,,,1997,,3,Ladrillo,,,Si,,,100,Si,,,Este,,Entre 25 y 35 años,,,,3,2,,174000,,Perfecto Estado,,,
6,,90,,Si,Si,,,ávila,Si,,Si,,Gasóleo,,Porcelánico,,,,2007,Si,,,,,,,,78,,,,,,Entre 15 y 20 Años,,,,4,1,,175000,,,,,
7,,283,,,Si,Individual,,ávila,Si,2,,,,,Terrazo,,,,1980,Si,,Piedra,,,,,,,Si,,Si,,,Entre 35 y 50 Años,,,,4,2,Si,200000,Si,A reformar,,Si,Si
8,,86,,Si,Si,Gas natural,,ávila,Si,2,Si,,Gas Natural,1,Baldosa,,,,1972,Si,,Piedra,,,Si,,,,Si,,Si,Sureste,,Entre 35 y 50 Años,,Si,,2,1,Si,170000,Si,Perfecto Estado,,,
